                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5918,                 1.0625,                 1.9414,                0.87058,                0.87282,                 0.8968,                0.45242,                 1.5514,                 0.9889,                 2.0597,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.5777,                 1.0463,                 1.9356,                0.87386,                0.83184,                0.90062,                0.45866,                 1.5396,                0.95761,                 2.0951,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.5651,                  1.049,                 1.9211,                0.87777,                0.83269,                0.88903,                 0.4573,                  1.548,                0.93932,                 2.0852,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.5588,                 1.0345,                 1.9211,                0.86269,                0.82861,                0.88533,                0.43077,                 1.5946,                 1.0115,                 2.1268,               0.009109,               0.009109,               0.009109
                     39,                 1.5678,                 1.0258,                 1.9177,                0.87931,                0.85517,                0.90053,                0.46445,                 1.5813,                0.97663,                 2.1033,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5481,                0.99787,                 1.9095,                0.89147,                0.86556,                0.91683,                0.47177,                 1.5258,                0.90201,                 2.0567,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5606,                 1.0302,                 1.9188,                0.91424,                0.86598,                0.91471,                0.48822,                 1.5152,                0.94729,                 2.0242,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5556,                 1.0465,                 1.9075,                0.89155,                0.87025,                0.91525,                0.47656,                 1.5224,                0.94247,                 2.0265,                0.00901,                0.00901,                0.00901
                     43,                 1.5451,                0.99779,                 1.9029,                0.87604,                0.81562,                0.88393,                0.45371,                 1.5749,                 1.0071,                 2.0485,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5454,                0.99706,                 1.8921,                0.89066,                0.84977,                0.90822,                0.47569,                 1.5124,                0.95991,                 2.0203,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.5492,                 1.0143,                 1.9009,                0.89187,                0.84486,                0.90053,                0.46531,                 1.5346,                0.97543,                 2.0741,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5695,                 1.0014,                 1.9111,                0.87855,                0.85211,                0.90557,                0.46339,                 1.5487,                0.92458,                 2.0096,               0.008911,               0.008911,               0.008911
                     47,                 1.5341,                 0.9566,                 1.8858,                0.89802,                0.84568,                0.90561,                0.47846,                 1.5212,                0.93147,                 2.0719,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.5394,                0.98739,                 1.9057,                 0.8992,                 0.8583,                0.91357,                0.47268,                 1.5458,                0.94802,                 2.0494,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5289,                0.99857,                 1.8666,                 0.8966,                0.88306,                0.92329,                0.47394,                 1.5461,                0.89638,                 1.9864,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.5343,                0.97705,                 1.8813,                0.90343,                0.87843,                0.92096,                0.48616,                 1.5214,                 0.8868,                 2.0407,               0.008812,               0.008812,               0.008812
                     51,                 1.5075,                0.97334,                 1.8761,                0.89462,                 0.8694,                 0.9143,                0.46728,                 1.5588,                0.94354,                 2.0854,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5208,                0.97744,                 1.8727,                0.92287,                0.86816,                 0.9212,                0.46823,                 1.5536,                0.89658,                  2.021,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5281,                 0.9738,                 1.8623,                0.90045,                0.87836,                0.92271,                0.46677,                 1.5706,                0.86531,                 2.0672,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5205,                0.96882,                 1.8852,                0.91857,                 0.8647,                0.92314,                0.47593,                 1.5484,                0.85218,                 2.0741,               0.008713,               0.008713,               0.008713
                     55,                 1.5107,                 0.9678,                 1.8671,                 0.9033,                0.87712,                 0.9216,                0.47141,                 1.5578,                0.86222,                 2.0676,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.5078,                0.93995,                 1.8689,                0.90087,                0.86726,                 0.9072,                 0.4488,                 1.5981,                0.91123,                 2.1289,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.5143,                0.92584,                 1.8711,                0.90761,                0.87634,                0.91783,                0.48706,                 1.5486,                0.84702,                 2.0767,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.5117,                0.95579,                 1.8817,                0.90173,                0.86001,                0.91236,                0.47029,                 1.5493,                 0.9096,                 2.0717,               0.008614,               0.008614,               0.008614
                     59,                 1.5097,                0.96199,                 1.8647,                0.89577,                0.85873,                0.90605,                 0.4636,                 1.5717,                0.90441,                 2.0601,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.5164,                0.96985,                 1.8791,                0.90667,                0.88519,                0.92307,                0.46922,                 1.5792,                0.85264,                 2.0654,              0.0085645,              0.0085645,              0.0085645
                     61,                  1.508,                0.95526,                 1.8733,                0.90107,                0.87111,                0.91896,                 0.4748,                 1.5525,                0.88684,                 2.0815,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.4877,                0.93547,                 1.8579,                0.90064,                0.86663,                 0.9146,                 0.4719,                 1.5681,                0.87537,                 2.0918,               0.008515,               0.008515,               0.008515
                     63,                 1.4992,                0.95138,                 1.8603,                0.91054,                 0.8869,                0.92614,                 0.4838,                 1.5344,                 0.8671,                 2.0459,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.5066,                0.94011,                 1.8729,                0.90548,                0.87793,                0.92268,                0.48064,                 1.5433,                 0.8486,                 2.1097,              0.0084655,              0.0084655,              0.0084655
                     65,                  1.484,                0.90872,                 1.8754,                0.91516,                0.87476,                0.92193,                0.47217,                 1.5462,                0.86649,                 2.0944,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.4745,                0.91264,                 1.8291,                0.89076,                0.88744,                0.91338,                0.46701,                 1.5386,                0.85059,                 2.0659,               0.008416,               0.008416,               0.008416
                     67,                 1.5035,                0.92641,                 1.8668,                 0.9065,                0.86483,                0.91331,                0.47005,                 1.5447,                0.87565,                 2.0838,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.4643,                0.91746,                 1.8398,                0.91399,                0.89117,                0.91818,                0.47402,                 1.5389,                0.84105,                 2.0662,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.4788,                0.88766,                 1.8386,                 0.9118,                 0.8869,                0.92956,                0.47508,                 1.5597,                 0.8222,                 2.0552,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.4868,                0.90327,                 1.8569,                0.90444,                0.89675,                0.92819,                0.47781,                 1.5503,                0.81513,                 2.1178,               0.008317,               0.008317,               0.008317
                     71,                 1.4593,                0.87962,                 1.8446,                0.91149,                0.87462,                0.92468,                0.48137,                 1.5626,                0.82652,                 2.1336,              0.0082922,              0.0082922,              0.0082922
