                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5623,                0.98657,                  1.767,                0.84653,                0.75808,                0.84183,                0.41783,                 1.6899,                 1.0421,                 1.9646,              0.0091833,              0.0091833,              0.0091833
                     36,                  1.552,                0.95498,                 1.7509,                0.89339,                 0.8583,                0.90584,                0.46518,                  1.561,                0.92454,                 1.7945,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.5793,                 1.0091,                 1.7863,                0.88564,                 0.8792,                0.91906,                0.48721,                 1.5519,                0.86837,                  1.764,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.5793,                0.98713,                 1.7777,                0.88775,                0.84722,                0.90019,                0.45954,                 1.5627,                0.98816,                 1.7841,               0.009109,               0.009109,               0.009109
                     39,                 1.5533,                0.96976,                 1.7689,                0.89143,                0.84805,                0.90233,                 0.4744,                 1.5464,                0.88882,                 1.7778,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5262,                0.95769,                 1.7449,                0.89012,                0.84977,                0.90957,                0.47539,                 1.5553,                0.88035,                 1.7925,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5233,                0.96363,                 1.7425,                0.88464,                0.88818,                0.92722,                0.48216,                 1.5467,                0.83882,                 1.7362,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5337,                0.96357,                 1.7434,                0.86782,                0.84464,                0.89058,                0.43974,                 1.6484,                0.95818,                 1.8338,                0.00901,                0.00901,                0.00901
                     43,                 1.5417,                0.93189,                 1.7421,                0.88362,                0.85745,                 0.9076,                0.46144,                 1.5849,                0.89844,                 1.7864,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5461,                0.94275,                 1.7399,                0.87375,                0.86428,                 0.9068,                0.44833,                 1.6486,                0.86433,                 1.7892,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.5204,                0.93208,                 1.7328,                0.89784,                0.83643,                0.90252,                0.45591,                 1.5622,                0.88883,                 1.8036,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5239,                0.93417,                 1.7487,                0.90062,                0.85915,                0.89779,                0.46019,                 1.6277,                0.84704,                 1.8421,               0.008911,               0.008911,               0.008911
                     47,                 1.5078,                0.91116,                 1.7316,                 0.8923,                0.85924,                0.89784,                0.45262,                 1.5889,                0.82886,                 1.7912,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.5098,                0.92683,                 1.7144,                0.90164,                 0.8933,                0.92112,                0.47795,                 1.5366,                0.81651,                 1.7258,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5092,                0.91292,                 1.7292,                0.90308,                0.88434,                0.92208,                0.45787,                 1.6077,                0.85766,                 1.7811,              0.0088368,              0.0088368,              0.0088368
                     50,                  1.509,                0.93307,                 1.7166,                0.88999,                0.88395,                0.91889,                0.46944,                 1.5875,                 0.8052,                 1.7695,               0.008812,               0.008812,               0.008812
                     51,                 1.5251,                0.91612,                 1.7358,                0.87564,                0.84447,                0.89834,                0.45912,                  1.612,                0.86899,                 1.7976,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5065,                0.91088,                 1.7284,                0.89462,                0.89202,                0.91116,                0.47704,                  1.566,                0.80377,                 1.7661,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5005,                0.88872,                 1.7156,                0.89255,                0.88306,                0.91403,                0.46449,                 1.6051,                0.83028,                 1.7967,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5158,                0.91576,                 1.7358,                0.87915,                0.86556,                0.91705,                0.46879,                 1.5591,                0.83592,                 1.7459,               0.008713,               0.008713,               0.008713
                     55,                 1.4998,                0.90687,                  1.711,                0.88683,                0.84379,                0.89578,                0.45815,                 1.6467,                0.89435,                 1.8642,              0.0086882,              0.0086882,              0.0086882
                     56,                  1.494,                0.88804,                 1.7145,                0.89049,                0.88946,                0.92207,                0.47884,                 1.5731,                0.80931,                 1.7698,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.4842,                0.87277,                 1.6945,                0.91369,                0.87198,                0.92674,                0.49377,                 1.5534,                0.78206,                 1.7489,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.4896,                0.88831,                 1.7169,                0.91651,                0.87611,                0.92503,                0.47895,                 1.5582,                0.80342,                 1.7789,               0.008614,               0.008614,               0.008614
                     59,                 1.4966,                0.89877,                 1.7147,                0.88734,                0.89117,                0.91852,                0.46833,                 1.5922,                0.82157,                 1.8172,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.4756,                 0.8776,                 1.6962,                0.90646,                0.88092,                0.92217,                0.48205,                 1.5551,                0.83161,                 1.7957,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.4844,                0.89876,                 1.7178,                0.90609,                0.88532,                0.92421,                0.48478,                 1.5363,                0.81862,                 1.7361,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.4684,                0.89167,                 1.6903,                0.89531,                0.87665,                0.90479,                0.45777,                  1.582,                0.83306,                 1.7877,               0.008515,               0.008515,               0.008515
                     63,                 1.4737,                0.88424,                 1.6755,                0.89546,                0.88007,                0.91816,                0.47865,                 1.5592,                0.80808,                 1.7361,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.4646,                0.86358,                 1.6798,                    0.9,                0.87196,                0.91771,                0.46918,                 1.5997,                0.78019,                 1.7879,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.4331,                0.85863,                 1.6636,                0.90893,                0.87409,                0.92228,                0.48006,                 1.5477,                0.80037,                 1.7533,              0.0084408,              0.0084408,              0.0084408
                     66,                  1.459,                0.87835,                 1.6863,                0.90857,                0.87409,                0.91578,                0.47311,                  1.562,                0.86869,                 1.7737,               0.008416,               0.008416,               0.008416
                     67,                 1.4613,                0.86486,                 1.6934,                0.90463,                0.87442,                0.91445,                0.46961,                 1.5896,                0.82812,                 1.8158,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.4496,                0.84462,                 1.6655,                0.91912,                0.89415,                0.93305,                0.48645,                 1.5684,                0.75007,                 1.7521,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.4402,                0.85328,                  1.663,                0.89008,                0.84507,                0.90558,                0.46869,                 1.5739,                0.81391,                 1.7688,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.4576,                0.86988,                 1.6726,                0.90347,                0.86685,                0.91847,                0.47832,                 1.5563,                0.79398,                 1.7428,               0.008317,               0.008317,               0.008317
                     71,                 1.4394,                0.84501,                 1.6774,                0.91223,                0.89611,                0.92926,                0.48446,                 1.5653,                0.76725,                 1.7714,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.4499,                 0.8511,                 1.6697,                 0.8995,                0.87367,                0.91911,                0.48705,                 1.5632,                0.78262,                 1.7664,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.4503,                0.84852,                  1.677,                0.91132,                0.89475,                   0.93,                0.48797,                 1.5421,                 0.7955,                 1.7746,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.4392,                0.85576,                 1.6698,                0.90905,                0.87367,                0.92153,                0.48536,                 1.5649,                0.77317,                 1.7602,               0.008218,               0.008218,               0.008218
                     75,                 1.4203,                0.82149,                 1.6528,                 0.9158,                0.89714,                0.93002,                0.48789,                 1.5574,                 0.7555,                 1.7342,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.4239,                0.83304,                 1.6378,                0.91339,                0.87495,                0.92555,                0.47087,                 1.5943,                0.77268,                 1.7536,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.4275,                0.83394,                 1.6427,                0.89684,                0.87537,                0.92003,                0.48169,                 1.5835,                0.74923,                 1.7777,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.4497,                 0.8357,                 1.6559,                0.89396,                0.87751,                0.91011,                0.45556,                  1.653,                0.74995,                 1.7998,               0.008119,               0.008119,               0.008119
                     79,                 1.4206,                0.82433,                 1.6516,                0.90256,                0.88947,                0.91922,                0.47368,                 1.5952,                0.75067,                 1.7661,              0.0080942,              0.0080942,              0.0080942
                     80,                 1.4196,                0.83584,                 1.6314,                0.91934,                0.89024,                0.93262,                0.48175,                 1.5887,                0.74676,                 1.7398,              0.0080695,              0.0080695,              0.0080695
                     81,                 1.4141,                0.80503,                 1.6398,                0.91595,                0.89771,                0.93395,                0.49016,                 1.5779,                0.72686,                 1.7412,              0.0080447,              0.0080447,              0.0080447
                     82,                 1.4116,                0.82109,                  1.634,                0.90081,                0.89543,                0.92431,                0.47508,                  1.615,                0.74454,                 1.7645,                0.00802,                0.00802,                0.00802
                     83,                 1.4113,                 0.8023,                  1.634,                0.92051,                0.90184,                0.93334,                0.49031,                 1.5823,                0.72326,                 1.7341,              0.0079953,              0.0079953,              0.0079953
                     84,                 1.4232,                0.82316,                 1.6505,                0.89771,                0.86153,                0.91076,                0.46528,                 1.6047,                0.76337,                 1.7777,              0.0079705,              0.0079705,              0.0079705
                     85,                 1.4081,                0.80253,                 1.6182,                0.89985,                0.87816,                0.92173,                0.47979,                 1.5922,                0.74037,                 1.7332,              0.0079457,              0.0079457,              0.0079457
                     86,                 1.3864,                0.80461,                 1.6201,                0.90183,                0.90312,                0.92413,                0.47524,                 1.6044,                0.74585,                 1.7962,               0.007921,               0.007921,               0.007921
                     87,                 1.3849,                0.79932,                 1.6237,                0.91718,                0.88988,                0.92387,                0.48148,                 1.5761,                0.76144,                 1.7694,              0.0078963,              0.0078963,              0.0078963
                     88,                 1.3943,                0.79134,                 1.6213,                0.90926,                0.88988,                 0.9178,                0.46994,                 1.6103,                0.76507,                 1.7918,              0.0078715,              0.0078715,              0.0078715
                     89,                  1.391,                0.79797,                 1.6268,                0.91243,                0.88434,                 0.9222,                0.48029,                 1.6026,                0.73838,                 1.7564,              0.0078467,              0.0078467,              0.0078467
                     90,                 1.3599,                0.78542,                  1.598,                0.91883,                0.90341,                0.93241,                0.48872,                 1.5732,                0.70649,                 1.7537,               0.007822,               0.007822,               0.007822
                     91,                 1.3672,                0.79279,                 1.6037,                0.90329,                0.87495,                0.92242,                0.48096,                 1.5915,                0.74791,                 1.7721,              0.0077973,              0.0077973,              0.0077973
                     92,                 1.3615,                0.77654,                 1.6169,                0.92082,                0.87857,                0.93041,                0.48217,                 1.5736,                0.74214,                  1.774,              0.0077725,              0.0077725,              0.0077725
                     93,                 1.3781,                0.77695,                 1.5924,                0.91615,                0.89159,                0.93244,                0.48712,                  1.603,                0.71779,                 1.7466,              0.0077478,              0.0077478,              0.0077478
                     94,                 1.3552,                0.77221,                 1.5969,                0.92634,                0.88029,                0.92662,                0.46721,                 1.6179,                 0.7423,                 1.7656,               0.007723,               0.007723,               0.007723
                     95,                 1.3648,                0.77469,                  1.597,                0.91594,                0.86001,                0.92334,                0.48018,                 1.6066,                0.73325,                 1.7751,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.3524,                0.76073,                 1.5985,                0.90472,                0.89159,                0.92629,                0.49273,                 1.5776,                0.71298,                 1.7665,              0.0076735,              0.0076735,              0.0076735
                     97,                 1.3515,                0.76307,                 1.5963,                0.90583,                0.88988,                0.92709,                0.48775,                 1.6019,                0.72259,                 1.7558,              0.0076488,              0.0076488,              0.0076488
                     98,                  1.349,                0.76626,                 1.5763,                0.91256,                0.89799,                0.92844,                0.48261,                 1.6003,                0.70795,                 1.7511,               0.007624,               0.007624,               0.007624
                     99,                 1.3606,                0.76765,                 1.6019,                0.90989,                0.88263,                0.92628,                0.48285,                 1.5943,                0.70494,                 1.7535,              0.0075993,              0.0075993,              0.0075993
                    100,                 1.3415,                0.77121,                 1.5704,                0.91416,                0.88604,                0.92776,                0.48002,                 1.6006,                0.71167,                 1.7626,              0.0075745,              0.0075745,              0.0075745
                    101,                 1.3457,                0.76471,                 1.5942,                0.90106,                0.89373,                0.91835,                0.46488,                  1.613,                 0.7303,                 1.7697,              0.0075498,              0.0075498,              0.0075498
                    102,                 1.3437,                0.77314,                 1.5864,                0.90618,                0.89039,                0.92733,                0.47702,                 1.5951,                0.72368,                 1.7444,               0.007525,               0.007525,               0.007525
                    103,                 1.3501,                0.76373,                 1.5692,                0.90012,                0.89117,                0.92667,                0.47607,                 1.6076,                0.71405,                  1.735,              0.0075003,              0.0075003,              0.0075003
                    104,                 1.3459,                0.77224,                 1.5723,                0.91597,                0.87466,                0.92417,                0.47712,                 1.6007,                0.73075,                 1.7357,              0.0074755,              0.0074755,              0.0074755
                    105,                 1.3332,                0.73926,                 1.5604,                0.92607,                 0.8933,                0.93327,                0.49348,                 1.5978,                0.71613,                 1.7375,              0.0074507,              0.0074507,              0.0074507
                    106,                 1.3101,                 0.7474,                 1.5529,                0.91356,                0.88903,                0.92474,                0.48108,                 1.6141,                0.71677,                 1.7722,               0.007426,               0.007426,               0.007426
                    107,                 1.3057,                0.73075,                 1.5625,                0.91432,                0.88263,                0.92479,                0.47732,                 1.5916,                 0.7161,                 1.7833,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.3066,                0.74624,                 1.5652,                0.91084,                0.89387,                0.93144,                0.48882,                 1.5843,                0.71734,                 1.7778,              0.0073765,              0.0073765,              0.0073765
