                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0476,                 2.1172,                0.55754,                0.56703,                0.57593,                 0.5065,                0.14885,                0.71691,                0.75717,                0.47251,              0.0033234,              0.0033234,              0.0033234
                      2,                0.69748,                 0.6117,                0.34342,                0.73115,                0.73905,                0.73638,                 0.2626,                0.66476,                0.58685,                0.43649,              0.0066403,              0.0066403,              0.0066403
                      3,                0.67298,                0.59066,                0.32461,                0.82654,                0.82507,                0.85489,                0.37051,                0.57647,                0.55621,                0.37608,              0.0099407,              0.0099407,              0.0099407
                      4,                  0.714,                0.59249,                0.32768,                0.80289,                0.76435,                0.78113,                 0.2433,                0.69997,                 0.5814,                0.44426,              0.0099258,              0.0099258,              0.0099258
                      5,                0.72695,                0.56625,                   0.32,                0.83494,                 0.8088,                0.83528,                0.32428,                0.64786,                0.52574,                0.41669,              0.0099258,              0.0099258,              0.0099258
                      6,                0.67811,                0.56831,                 0.3092,                0.84799,                0.89028,                0.89169,                0.40883,                0.54998,                0.51452,                0.34672,               0.009901,               0.009901,               0.009901
                      7,                0.66539,                0.57294,                0.30072,                0.84999,                0.86157,                0.88139,                0.34753,                0.62647,                0.51135,                0.37141,              0.0098763,              0.0098763,              0.0098763
                      8,                 0.6667,                0.57661,                0.29715,                 0.8138,                0.86111,                0.86118,                 0.4088,                0.52841,                0.56318,                0.33673,              0.0098515,              0.0098515,              0.0098515
                      9,                0.67777,                0.57737,                0.30268,                0.86606,                0.88908,                0.91012,                0.41771,                0.55136,                0.51581,                0.35529,              0.0098268,              0.0098268,              0.0098268
                     10,                0.70054,                0.56062,                0.29916,                0.83929,                0.89939,                0.89442,                 0.4269,                0.52912,                0.53577,                0.34244,               0.009802,               0.009802,               0.009802
                     11,                0.69903,                0.54581,                0.29956,                0.85136,                 0.9162,                0.90943,                 0.4454,                0.50806,                0.53125,                0.32563,              0.0097773,              0.0097773,              0.0097773
                     12,                0.69118,                0.54885,                 0.2909,                0.86342,                0.88971,                0.90554,                0.39323,                0.57244,                0.52997,                0.34439,              0.0097525,              0.0097525,              0.0097525
                     13,                0.68177,                0.56075,                0.29367,                0.87755,                0.91759,                0.93274,                0.46263,                0.49966,                 0.5472,                0.31548,              0.0097278,              0.0097278,              0.0097278
                     14,                0.65056,                0.54534,                0.27749,                0.88037,                0.90624,                0.91802,                0.43835,                0.53405,                0.52383,                0.33533,               0.009703,               0.009703,               0.009703
                     15,                0.64512,                0.54128,                0.27948,                0.85353,                0.89566,                0.89417,                0.39589,                0.57536,                 0.5309,                 0.3527,              0.0096783,              0.0096783,              0.0096783
                     16,                0.66614,                0.54947,                0.27992,                0.82287,                0.88398,                 0.8523,                0.36102,                0.60774,                0.51743,                0.36606,              0.0096535,              0.0096535,              0.0096535
                     17,                0.66256,                0.54865,                0.28113,                0.86971,                0.89722,                0.89456,                0.44208,                0.51474,                 0.5179,                0.31903,              0.0096288,              0.0096288,              0.0096288
                     18,                0.64188,                 0.5566,                0.27607,                0.84288,                0.90651,                0.88038,                0.40276,                0.54699,                0.50507,                0.33523,               0.009604,               0.009604,               0.009604
                     19,                0.63746,                0.55341,                0.27236,                0.86068,                0.90185,                0.90011,                0.41617,                0.53148,                0.52497,                0.33562,              0.0095793,              0.0095793,              0.0095793
                     20,                0.67404,                0.55197,                0.28167,                0.86394,                0.90324,                0.90059,                0.45381,                0.49852,                0.54738,                 0.3139,              0.0095545,              0.0095545,              0.0095545
                     21,                0.62495,                0.55152,                0.27581,                0.86166,                0.92176,                0.90805,                0.46259,                0.48632,                0.55311,                0.30882,              0.0095298,              0.0095298,              0.0095298
                     22,                0.64635,                0.54984,                0.27312,                0.85757,                0.89815,                0.90642,                0.46473,                0.49654,                0.52553,                0.32721,               0.009505,               0.009505,               0.009505
                     23,                0.64786,                0.54989,                0.27356,                0.86171,                0.91204,                0.90623,                0.38544,                0.58632,                0.52903,                0.35253,              0.0094803,              0.0094803,              0.0094803
                     24,                0.67561,                  0.543,                0.27315,                0.86536,                0.91667,                0.91206,                0.45076,                0.49417,                0.51665,                0.31604,              0.0094555,              0.0094555,              0.0094555
                     25,                0.65958,                0.55098,                0.27332,                0.86107,                0.91944,                0.90742,                0.42211,                0.54872,                0.52606,                0.33667,              0.0094307,              0.0094307,              0.0094307
                     26,                0.62837,                0.54707,                0.26798,                0.86662,                0.92947,                0.92706,                0.47055,                0.49208,                0.53089,                0.31333,               0.009406,               0.009406,               0.009406
                     27,                0.62991,                0.55954,                0.26201,                0.85867,                0.92731,                0.91925,                0.46061,                0.49769,                0.54134,                0.31351,              0.0093813,              0.0093813,              0.0093813
                     28,                0.64385,                0.54721,                0.26699,                0.86687,                0.92778,                0.92881,                0.47118,                0.48807,                0.55858,                0.30892,              0.0093565,              0.0093565,              0.0093565
