                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5606,                0.97571,                 1.6836,                0.88465,                0.81989,                 0.8815,                0.43859,                 1.6432,                0.99649,                 1.7457,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.5392,                0.95489,                 1.6592,                0.89104,                0.84465,                 0.8965,                0.45105,                 1.5986,                0.95107,                 1.7093,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.5507,                0.97066,                 1.6701,                0.89433,                0.83269,                 0.8992,                0.45622,                  1.595,                0.89234,                 1.6819,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.5338,                0.93934,                 1.6501,                0.90707,                0.81349,                0.86011,                0.43791,                 1.6297,                0.95733,                 1.7417,               0.009109,               0.009109,               0.009109
                     39,                  1.562,                0.97716,                 1.6761,                0.87817,                0.83376,                0.88976,                0.46261,                 1.5722,                 0.8992,                 1.6696,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5324,                0.95069,                 1.6341,                0.89418,                0.81863,                0.88029,                0.45718,                 1.5854,                 0.8918,                 1.6746,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5385,                0.95596,                 1.6609,                0.89251,                0.85757,                0.90701,                0.47405,                 1.5887,                0.85023,                  1.656,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5337,                0.94411,                 1.6479,                0.89321,                0.88775,                0.90866,                0.47233,                 1.5703,                0.80819,                 1.6561,                0.00901,                0.00901,                0.00901
                     43,                 1.5268,                 0.9432,                 1.6554,                0.89219,                   0.83,                0.89053,                0.46087,                 1.5877,                0.87801,                 1.6842,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5379,                0.96103,                 1.6498,                0.82944,                0.69441,                0.77464,                0.37897,                 1.7986,                 1.2966,                 1.8921,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.5275,                0.94545,                 1.6457,                0.88877,                0.83554,                0.89147,                0.46749,                 1.5254,                0.84422,                  1.633,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5353,                0.93766,                 1.6386,                0.89817,                0.88463,                0.90985,                0.47167,                 1.5723,                0.80711,                 1.6746,               0.008911,               0.008911,               0.008911
                     47,                 1.5198,                0.91053,                  1.627,                 0.8992,                0.84519,                0.90336,                0.47928,                 1.5325,                 0.8374,                 1.6297,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.5038,                0.92767,                 1.6322,                 0.8939,                0.87739,                0.91713,                0.47207,                 1.5515,                0.82374,                 1.6611,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5186,                0.93042,                 1.6505,                0.89033,                0.84893,                0.89735,                0.44216,                 1.6194,                0.85854,                 1.7017,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.4963,                0.91602,                 1.6284,                0.88699,                0.87099,                0.91387,                0.47231,                 1.6031,                0.85162,                 1.6901,               0.008812,               0.008812,               0.008812
                     51,                 1.5124,                0.91875,                  1.637,                0.88571,                0.88178,                0.91631,                0.46714,                 1.6023,                0.83167,                  1.674,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5089,                0.93634,                 1.6417,                0.91328,                0.88093,                0.92859,                0.48426,                  1.558,                0.83413,                  1.654,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5098,                 0.9007,                 1.6168,                0.89468,                0.86556,                0.91401,                0.46887,                 1.5755,                0.81347,                 1.6391,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5161,                0.92598,                 1.6182,                0.89155,                0.85105,                 0.9031,                 0.4436,                 1.6311,                0.87822,                 1.6939,               0.008713,               0.008713,               0.008713
                     55,                 1.5034,                0.90696,                 1.6235,                0.89331,                0.88625,                0.91458,                0.46297,                 1.5953,                0.78463,                 1.6664,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.5129,                0.91327,                 1.6324,                0.89654,                0.86684,                0.91146,                 0.4661,                 1.6143,                0.80689,                  1.681,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.4832,                0.90116,                  1.629,                0.89662,                0.84806,                 0.9002,                0.46776,                 1.6186,                0.88976,                 1.6949,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.4753,                0.89269,                 1.6244,                0.90732,                0.88165,                0.92473,                0.48128,                 1.5831,                0.76923,                 1.6351,               0.008614,               0.008614,               0.008614
