train_loss_giou,training_loss,train_loss_bbox,train_loss_ce,train_cardinality_error,epoch,step,validation_loss_bbox,validation_cardinality_error,validation_loss_giou,validation/loss,validation_loss_ce
0.64738929271698,3.4542148113250732,0.19489502906799316,1.1849610805511475,143.5,0,4,,,,,
0.43961524963378906,2.7413339614868164,0.13570258021354675,1.1835904121398926,29.0,0,9,,,,,
0.0,0.00012010572390863672,0.0,0.00012010572390863672,3.0,0,14,,,,,
0.43281832337379456,2.918337821960449,0.18394383788108826,1.1329820156097412,2.5,0,19,,,,,
0.5837327241897583,3.1470770835876465,0.192095547914505,1.0191340446472168,11.0,0,24,,,,,
0.0,0.0005060838302597404,0.0,0.0005060838302597404,0.0,0,29,,,,,
0.45798730850219727,2.6754813194274902,0.13087409734725952,1.1051362752914429,6.0,0,34,,,,,
0.0,6.324377318378538e-05,0.0,6.324377318378538e-05,1.5,0,39,,,,,
0.42237889766693115,2.462822914123535,0.10787516087293625,1.078689455986023,16.5,0,44,,,,,
0.0,3.932122126570903e-05,0.0,3.932122126570903e-05,10.0,0,49,,,,,
0.49499091506004333,2.6668989658355713,0.14092037081718445,0.97231525182724,1.5,0,54,,,,,
0.2943412661552429,1.6945210695266724,0.07446929067373276,0.7334920167922974,2.0,0,59,,,,,
0.0,0.00018132373224943876,0.0,0.00018132373224943876,42.0,0,64,,,,,
0.0,6.114529969636351e-05,0.0,6.114529969636351e-05,215.5,0,69,,,,,
0.3325623869895935,1.7614191770553589,0.08318617194890976,0.6803635358810425,135.0,0,74,,,,,
0.40719619393348694,2.1064534187316895,0.10231101512908936,0.780505895614624,183.0,0,79,,,,,
0.4807963967323303,2.1278064250946045,0.12347710877656937,0.5488280653953552,6.0,0,84,,,,,
0.2675047516822815,1.266406536102295,0.06235799938440323,0.4196070730686188,25.5,0,89,,,,,
0.30276426672935486,1.4855573177337646,0.08027248084545135,0.4786662757396698,122.5,0,94,,,,,
0.3106658458709717,1.6602306365966797,0.08322788774967194,0.6227594614028931,164.5,0,99,,,,,
0.28866705298423767,1.3111670017242432,0.0894317477941513,0.28667405247688293,121.5,0,104,,,,,
0.2596574127674103,1.2372686862945557,0.07554291188716888,0.34023934602737427,47.5,0,109,,,,,
