                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5784,                  1.011,                 1.6798,                0.84652,                0.71191,                0.79554,                 0.3943,                 1.7019,                 1.1751,                 1.8255,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.5674,                0.99358,                 1.6764,                0.86183,                0.82258,                0.88587,                0.43409,                 1.6408,                0.91576,                 1.7385,              0.0091585,              0.0091585,              0.0091585
                     37,                  1.575,                 1.0243,                 1.6715,                0.87512,                 0.8105,                0.88056,                0.42599,                 1.6233,                0.90631,                  1.665,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.5512,                 1.0063,                 1.6489,                0.87317,                0.85801,                0.89521,                0.45154,                 1.5499,                 0.8879,                 1.6443,               0.009109,               0.009109,               0.009109
                     39,                 1.5898,                  1.025,                 1.6741,                0.88789,                0.80115,                0.88823,                0.46085,                 1.5842,                0.91298,                 1.6778,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5559,                0.98763,                 1.6635,                0.86678,                0.79428,                0.85979,                0.42623,                 1.6749,                 1.0808,                 1.7259,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5438,                0.98726,                 1.6642,                0.87518,                0.81093,                0.87565,                0.42357,                 1.6875,                0.94356,                 1.7555,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5585,                0.98661,                 1.6704,                0.87198,                 0.8408,                0.89834,                0.43511,                 1.6469,                0.88249,                 1.7261,                0.00901,                0.00901,                0.00901
                     43,                 1.5587,                0.98119,                 1.6682,                0.87765,                0.83611,                0.89037,                0.45486,                 1.6403,                0.92673,                 1.7164,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5647,                 1.0042,                 1.6677,                0.88527,                0.80538,                0.88541,                0.46103,                 1.5801,                 0.9972,                 1.6611,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.5421,                  0.965,                 1.6508,                0.83117,                0.66283,                0.74592,                 0.3554,                 1.7623,                 1.5023,                 1.8354,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5428,                0.95686,                 1.6431,                0.87987,                0.86282,                0.90609,                0.45729,                 1.5536,                0.87753,                 1.6552,               0.008911,               0.008911,               0.008911
                     47,                 1.5186,                0.94575,                 1.6304,                0.87539,                0.84166,                0.88496,                0.44095,                 1.6483,                0.87591,                 1.7054,              0.0088863,              0.0088863,              0.0088863
                     48,                  1.542,                0.97253,                 1.6433,                0.90066,                0.84748,                0.90697,                0.45252,                 1.6513,                0.86491,                 1.6916,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5346,                0.95207,                  1.647,                0.89326,                0.87153,                0.91565,                0.46694,                 1.5973,                0.83524,                 1.6542,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.5286,                0.94346,                 1.6292,                0.88168,                0.84596,                0.91381,                0.46779,                 1.5686,                0.82758,                  1.614,               0.008812,               0.008812,               0.008812
                     51,                 1.5372,                0.95683,                 1.6496,                 0.8654,                0.80154,                0.85677,                0.42983,                 1.6439,                 0.9744,                 1.6984,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5421,                0.96665,                 1.6463,                0.87731,                0.86673,                0.89194,                0.43691,                 1.6493,                0.83618,                 1.6885,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5272,                0.94542,                 1.6327,                0.87559,                0.85019,                  0.894,                0.45312,                 1.6414,                0.88747,                 1.6977,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5314,                0.97147,                 1.6455,                0.89139,                0.85446,                 0.9101,                0.46687,                 1.6024,                0.81603,                 1.6916,               0.008713,               0.008713,               0.008713
                     55,                 1.5174,                0.94035,                  1.628,                0.90783,                0.82391,                 0.8962,                0.45604,                 1.6206,                0.86147,                 1.6725,              0.0086882,              0.0086882,              0.0086882
                     56,                  1.534,                0.93503,                 1.6477,                0.89292,                0.86839,                0.91339,                0.45269,                 1.6043,                0.86299,                 1.6943,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.5394,                0.93448,                 1.6464,                0.86335,                0.82501,                0.87995,                0.43137,                  1.674,                0.95201,                 1.7405,              0.0086388,              0.0086388,              0.0086388
                     58,                  1.516,                0.93512,                 1.6323,                0.85593,                0.75715,                0.83811,                0.40997,                 1.7571,                 1.0148,                 1.8064,               0.008614,               0.008614,               0.008614
                     59,                  1.498,                0.91955,                 1.6226,                 0.8976,                0.87916,                 0.9159,                0.47191,                 1.5781,                0.82247,                  1.662,              0.0085893,              0.0085893,              0.0085893
