                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1675,                  1.988,                0.64814,                0.57205,                0.61267,                0.54623,                0.15889,                0.71771,                0.73161,                0.46478,              0.0033234,              0.0033234,              0.0033234
                      2,                 0.6842,                0.63316,                0.33837,                0.80337,                0.81481,                 0.8336,                0.34129,                0.58548,                0.57088,                0.38517,              0.0066403,              0.0066403,              0.0066403
                      3,                0.64913,                0.60215,                0.31333,                0.83454,                 0.8593,                0.88145,                0.40223,                0.56273,                0.54087,                0.37182,              0.0099407,              0.0099407,              0.0099407
                      4,                0.70985,                  0.586,                0.32252,                0.86402,                0.86435,                0.90152,                0.40108,                0.55592,                0.53386,                0.36039,              0.0099258,              0.0099258,              0.0099258
                      5,                0.68796,                0.57475,                0.30772,                0.84511,                0.89423,                0.90577,                0.42833,                0.52905,                0.52062,                 0.3433,              0.0099258,              0.0099258,              0.0099258
                      6,                0.66446,                0.57406,                0.30557,                0.85745,                0.89074,                 0.9016,                  0.417,                0.55254,                0.51943,                 0.3551,               0.009901,               0.009901,               0.009901
                      7,                0.64382,                0.58668,                0.29699,                0.88409,                0.88009,                0.91169,                 0.4257,                0.53987,                0.53197,                0.34658,              0.0098763,              0.0098763,              0.0098763
                      8,                0.65215,                 0.5786,                0.29435,                0.84608,                0.90595,                0.90415,                0.43529,                0.51654,                0.52709,                0.32815,              0.0098515,              0.0098515,              0.0098515
                      9,                0.65831,                0.57051,                0.29116,                0.87133,                0.91065,                0.92483,                0.42392,                0.55698,                0.52116,                0.35722,              0.0098268,              0.0098268,              0.0098268
                     10,                0.65112,                0.56409,                0.28443,                0.84772,                 0.9201,                0.92164,                0.45182,                0.50448,                0.52507,                0.31987,               0.009802,               0.009802,               0.009802
                     11,                0.67264,                0.56073,                0.28895,                0.86424,                0.92176,                0.92513,                0.46522,                0.49006,                0.52766,                  0.311,              0.0097773,              0.0097773,              0.0097773
                     12,                0.64734,                0.55507,                0.27753,                0.84184,                0.88961,                0.88269,                0.40124,                0.56682,                0.55899,                0.35768,              0.0097525,              0.0097525,              0.0097525
                     13,                0.65301,                0.55976,                0.28432,                0.86555,                0.90903,                0.91303,                0.42835,                0.54336,                0.51683,                0.34147,              0.0097278,              0.0097278,              0.0097278
                     14,                0.62791,                0.54555,                0.27163,                0.87366,                0.90046,                0.91512,                0.45466,                0.50491,                0.52404,                0.32738,               0.009703,               0.009703,               0.009703
                     15,                0.61364,                0.54991,                0.26584,                0.85712,                0.91296,                0.90903,                0.42589,                0.53399,                0.52415,                0.33602,              0.0096783,              0.0096783,              0.0096783
                     16,                0.62526,                0.55623,                0.26272,                0.85987,                0.92454,                0.92797,                0.47092,                0.48621,                0.54213,                0.30985,              0.0096535,              0.0096535,              0.0096535
                     17,                 0.6019,                 0.5589,                0.26354,                0.87693,                0.93359,                0.92497,                 0.4714,                0.49098,                0.52335,                0.31702,              0.0096288,              0.0096288,              0.0096288
                     18,                0.58115,                0.55783,                0.25563,                0.84451,                0.91157,                0.89155,                0.41287,                0.52924,                0.51477,                0.33361,               0.009604,               0.009604,               0.009604
                     19,                0.58993,                 0.5566,                0.25512,                0.87097,                0.91253,                 0.9086,                0.42002,                0.54687,                0.53004,                0.34004,              0.0095793,              0.0095793,              0.0095793
                     20,                0.59576,                0.55424,                0.25876,                0.87511,                 0.9213,                0.91718,                0.44753,                0.52278,                0.53295,                0.33664,              0.0095545,              0.0095545,              0.0095545
                     21,                0.58125,                0.55408,                0.26079,                0.87717,                0.92963,                0.93042,                0.49075,                0.47218,                0.54534,                0.29693,              0.0095298,              0.0095298,              0.0095298
                     22,                0.58541,                0.56376,                0.25353,                0.87068,                0.91898,                0.91518,                 0.4432,                0.52007,                0.53895,                0.32274,               0.009505,               0.009505,               0.009505
                     23,                0.56741,                0.55123,                 0.2479,                0.86574,                0.91352,                0.92225,                0.47615,                0.49196,                0.53106,                0.31175,              0.0094803,              0.0094803,              0.0094803
                     24,                0.55915,                0.54201,                0.23819,                0.86204,                0.91991,                0.91492,                0.48349,                0.47753,                0.52856,                0.29897,              0.0094555,              0.0094555,              0.0094555
                     25,                0.58176,                0.55828,                0.25097,                0.87125,                0.90602,                0.91098,                0.45129,                 0.5191,                 0.5507,                0.33338,              0.0094307,              0.0094307,              0.0094307
                     26,                0.53834,                0.55545,                0.23862,                0.87366,                0.92176,                0.91971,                0.44322,                0.52977,                0.57944,                0.34192,               0.009406,               0.009406,               0.009406
                     27,                 0.5539,                0.54798,                0.24228,                0.87236,                0.92392,                0.92198,                0.46239,                0.50268,                0.51488,                0.31505,              0.0093813,              0.0093813,              0.0093813
                     28,                0.55593,                 0.5483,                0.23998,                0.87763,                 0.9213,                0.93364,                0.49268,                0.47241,                 0.5566,                0.29937,              0.0093565,              0.0093565,              0.0093565
                     29,                0.53661,                0.55961,                0.24657,                0.88022,                 0.9287,                0.94198,                0.49706,                0.46821,                0.53327,                0.29778,              0.0093317,              0.0093317,              0.0093317
                     30,                0.53771,                 0.5453,                0.23926,                0.86635,                 0.9287,                0.93141,                0.49351,                0.47071,                0.55316,                0.29922,               0.009307,               0.009307,               0.009307
                     31,                0.53515,                0.55056,                0.23505,                0.86812,                0.92648,                0.92618,                0.46916,                0.49486,                0.53455,                0.30934,              0.0092823,              0.0092823,              0.0092823
                     32,                0.52589,                0.55341,                0.24019,                0.89311,                0.93228,                0.94295,                0.50253,                0.46745,                0.53454,                0.29541,              0.0092575,              0.0092575,              0.0092575
                     33,                0.53369,                0.54675,                0.23325,                0.86153,                0.93039,                0.91669,                0.46689,                 0.4953,                0.55121,                0.32113,              0.0092327,              0.0092327,              0.0092327
                     34,                0.53384,                0.54948,                0.24187,                0.86646,                0.93119,                 0.9285,                0.49213,                0.47271,                0.53399,                0.30062,               0.009208,               0.009208,               0.009208
                     35,                0.51308,                 0.5559,                0.22823,                0.85725,                0.93411,                0.92498,                0.49517,                0.46658,                0.55311,                0.29658,              0.0091833,              0.0091833,              0.0091833
                     36,                0.51673,                 0.5511,                0.23516,                0.86957,                0.91806,                0.92166,                0.45989,                0.49763,                0.54084,                0.31641,              0.0091585,              0.0091585,              0.0091585
                     37,                0.52081,                0.53211,                 0.2276,                0.87247,                0.92824,                0.93515,                0.50091,                0.46278,                 0.5415,                0.29426,              0.0091337,              0.0091337,              0.0091337
                     38,                 0.5203,                0.54295,                0.22425,                0.85879,                0.93759,                0.92157,                0.47934,                0.48062,                0.54373,                 0.3026,               0.009109,               0.009109,               0.009109
                     39,                0.52037,                0.55757,                0.23342,                 0.8788,                0.93655,                0.94149,                0.49498,                  0.473,                0.53817,                0.29745,              0.0090843,              0.0090843,              0.0090843
                     40,                0.52119,                0.55563,                 0.2264,                0.89114,                0.92853,                 0.9434,                0.50488,                0.46403,                0.55244,                0.29863,              0.0090595,              0.0090595,              0.0090595
                     41,                0.51178,                0.55847,                0.22759,                0.87987,                0.93287,                0.92995,                0.49629,                0.46775,                0.52931,                0.30231,              0.0090347,              0.0090347,              0.0090347
                     42,                0.50194,                0.53746,                0.22459,                0.84272,                 0.9054,                0.89234,                0.46812,                0.48868,                0.55232,                0.31578,                0.00901,                0.00901,                0.00901
                     43,                0.48525,                0.54752,                0.21993,                0.88079,                0.93472,                0.93338,                0.48672,                0.46946,                0.54466,                 0.3014,              0.0089853,              0.0089853,              0.0089853
                     44,                0.52008,                0.54353,                0.22348,                0.86621,                0.91423,                0.91227,                0.46967,                0.48296,                0.53473,                0.30883,              0.0089605,              0.0089605,              0.0089605
                     45,                 0.5145,                 0.5346,                 0.2186,                0.86142,                0.93056,                0.92244,                0.49551,                0.46494,                0.55654,                 0.2977,              0.0089358,              0.0089358,              0.0089358
                     46,                0.49783,                0.54633,                0.22202,                0.87217,                0.92778,                 0.9314,                0.49938,                0.45839,                0.53941,                0.29518,               0.008911,               0.008911,               0.008911
                     47,                 0.5027,                0.54108,                 0.2215,                0.86763,                0.92407,                0.92725,                0.48654,                0.46606,                0.54061,                0.29357,              0.0088863,              0.0088863,              0.0088863
                     48,                0.48491,                0.53898,                0.21424,                0.88706,                0.92725,                0.93295,                0.49574,                0.46833,                0.54115,                 0.3026,              0.0088615,              0.0088615,              0.0088615
                     49,                0.48885,                0.53622,                0.21063,                0.86566,                0.92775,                0.92811,                0.49718,                0.46396,                0.54062,                 0.2986,              0.0088368,              0.0088368,              0.0088368
                     50,                0.49212,                  0.536,                0.21848,                0.85887,                 0.9241,                0.91546,                0.48872,                0.47136,                0.57357,                0.30518,               0.008812,               0.008812,               0.008812
                     51,                0.49177,                0.55412,                0.21851,                 0.8893,                0.93241,                0.94008,                0.50773,                0.45967,                0.55357,                0.29414,              0.0087872,              0.0087872,              0.0087872
                     52,                0.48428,                 0.5393,                0.21779,                 0.8892,                0.91774,                0.94059,                0.50132,                 0.4695,                0.54083,                0.30059,              0.0087625,              0.0087625,              0.0087625
                     53,                0.47451,                0.55005,                0.21277,                0.88469,                0.91994,                0.93926,                0.50983,                0.46403,                0.54869,                0.29807,              0.0087378,              0.0087378,              0.0087378
