train_loss_giou,train_loss_ce,train_cardinality_error,training_loss,step,epoch,train_loss_bbox,validation_loss_giou,validation/loss,validation_cardinality_error,validation_loss_bbox,validation_loss_ce
0.0,8.561478921365051e-07,22.5,8.561478921365051e-07,9419,7,0.0,,,,,
0.0,7.063205202939571e-07,24.0,7.063205202939571e-07,9424,7,0.0,,,,,
0.19159556925296783,0.1964108645915985,9.5,0.8513165712356567,9429,7,0.05434291809797287,,,,,
0.0,1.417970452166628e-06,33.5,1.417970452166628e-06,9434,7,0.0,,,,,
0.0,1.339664549959707e-06,33.0,1.339664549959707e-06,9439,7,0.0,,,,,
0.18143896758556366,0.2460765391588211,18.5,0.7873166799545288,9444,7,0.03567243739962578,,,,,
0.1375340223312378,0.12586863338947296,30.5,0.524188220500946,9449,7,0.02465030550956726,,,,,
0.1986871361732483,0.2709258794784546,15.5,0.8332232236862183,9454,7,0.03298461064696312,,,,,
0.11121311783790588,0.27965298295021057,30.0,0.6619827151298523,9459,7,0.03198070079088211,,,,,
0.0,2.2355283135766513e-07,36.0,2.2355283135766513e-07,9464,7,0.0,,,,,
0.0,5.17942595479326e-08,30.5,5.17942595479326e-08,9469,7,0.0,,,,,
0.1827765852212906,0.1815956085920334,7.0,0.8240057229995728,9474,7,0.05537138134241104,,,,,
0.15240709483623505,0.19095070660114288,29.5,0.6926931142807007,9479,7,0.03938564285635948,,,,,
0.1344345360994339,0.18417225778102875,14.0,0.6157832145690918,9484,7,0.032548386603593826,,,,,
0.2241082638502121,0.2157098948955536,12.0,0.9712457656860352,9489,7,0.061463862657547,,,,,
0.0,7.096630838532292e-08,19.0,7.096630838532292e-08,9494,7,0.0,,,,,
0.0,4.358912519819569e-08,21.0,4.358912519819569e-08,9499,7,0.0,,,,,
0.19460991024971008,0.21421673893928528,11.0,0.8177696466445923,9504,7,0.042866624891757965,,,,,
0.2109353244304657,0.26914191246032715,12.5,0.8680260181427002,9509,7,0.03540269285440445,,,,,
0.20917358994483948,0.22485096752643585,13.5,0.9583479166030884,9514,7,0.06302995979785919,,,,,
0.0,7.752537101168855e-08,18.0,7.752537101168855e-08,9519,7,0.0,,,,,
0.0,3.868057518729984e-08,17.5,3.868057518729984e-08,9524,7,0.0,,,,,
0.0,1.1626232776507095e-07,21.5,1.1626232776507095e-07,9529,7,0.0,,,,,
0.0,1.5680137721574283e-07,14.5,1.5680137721574283e-07,9534,7,0.0,,,,,
0.12705594301223755,0.07545655220746994,19.5,0.48548659682273865,9539,7,0.031183630228042603,,,,,
0.1650329828262329,0.25550830364227295,12.0,0.8730595111846924,9544,7,0.0574970543384552,,,,,
0.0,3.099941991990818e-08,9.0,3.099941991990818e-08,9549,7,0.0,,,,,
0.1792420744895935,0.2687322497367859,9.5,0.8248674273490906,9554,7,0.039530206471681595,,,,,
0.0,3.976131424110463e-08,10.0,3.976131424110463e-08,9559,7,0.0,,,,,
0.2610108256340027,0.26501044631004333,6.5,1.0204439163208008,9564,7,0.04668237641453743,,,,,
0.1383351981639862,0.25103655457496643,7.0,0.6972606778144836,9569,7,0.03391074761748314,,,,,
0.0,4.072562731494145e-08,9.5,4.072562731494145e-08,9574,7,0.0,,,,,
0.14129841327667236,0.04768401011824608,13.5,0.5154492855072021,9579,7,0.03703369200229645,,,,,
0.0,5.571538963522471e-08,12.5,5.571538963522471e-08,9584,7,0.0,,,,,
0.18942296504974365,0.10271008312702179,14.0,0.7535293102264404,9589,7,0.05439465492963791,,,,,
0.15375304222106934,0.1406433880329132,5.0,0.6546807885169983,9594,7,0.0413062646985054,,,,,
0.09144318103790283,0.169864222407341,9.5,0.4545547664165497,9599,7,0.020360836759209633,,,,,
0.0,5.210876352634841e-08,9.5,5.210876352634841e-08,9604,7,0.0,,,,,
0.21042947471141815,0.16752557456493378,5.5,0.8789068460464478,9609,7,0.05810445547103882,,,,,
0.16787192225456238,0.16986125707626343,5.5,0.8169292211532593,9614,7,0.0622648224234581,,,,,
0.2818336486816406,0.16311408579349518,12.5,1.1423646211624146,9619,7,0.08311664313077927,,,,,
0.19990812242031097,0.1586349904537201,10.0,0.723145604133606,9624,7,0.032938867807388306,,,,,
0.0,1.4808449577685678e-07,10.5,1.4808449577685678e-07,9629,7,0.0,,,,,
0.11406198889017105,0.25310295820236206,6.0,0.6066983938217163,9634,7,0.025094294920563698,,,,,
0.0,2.48188484874845e-07,11.0,2.48188484874845e-07,9639,7,0.0,,,,,
