                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61157,                0.57355,                0.28101,                0.82206,                0.88334,                0.86758,                0.39091,                0.54103,                0.53723,                0.30755,              0.0091585,              0.0091585,              0.0091585
                     37,                0.57868,                 0.5535,                0.26639,                0.84815,                0.88202,                0.87347,                0.41529,                0.52736,                0.55761,                0.28752,              0.0091337,              0.0091337,              0.0091337
                     38,                0.56942,                0.56671,                0.26341,                0.84863,                0.87452,                0.87334,                0.40009,                0.53844,                0.56929,                0.30165,               0.009109,               0.009109,               0.009109
                     39,                0.59266,                0.56278,                0.27184,                0.82606,                0.89202,                0.87398,                0.43164,                0.51532,                 0.5624,                0.28243,              0.0090843,              0.0090843,              0.0090843
                     40,                0.59248,                 0.5605,                0.26613,                0.84888,                0.89117,                0.87439,                 0.4202,                0.53709,                 0.5483,                0.29835,              0.0090595,              0.0090595,              0.0090595
                     41,                0.56703,                0.56991,                0.27033,                0.82178,                0.87574,                0.86118,                0.39119,                0.57858,                0.54864,                0.31876,              0.0090347,              0.0090347,              0.0090347
                     42,                 0.5761,                0.56234,                0.26967,                0.84746,                0.87836,                0.87912,                0.40411,                0.55125,                0.53224,                0.31349,                0.00901,                0.00901,                0.00901
                     43,                  0.563,                0.56096,                0.26185,                0.83274,                0.86513,                0.86181,                0.43138,                0.52311,                0.53068,                 0.2828,              0.0089853,              0.0089853,              0.0089853
                     44,                0.58754,                0.55008,                0.26753,                0.84224,                0.84678,                0.85753,                0.39301,                0.57332,                0.54945,                0.30752,              0.0089605,              0.0089605,              0.0089605
                     45,                0.59328,                0.54284,                0.27321,                0.83825,                0.88032,                0.87173,                0.42228,                0.53043,                 0.5418,                 0.2861,              0.0089358,              0.0089358,              0.0089358
                     46,                0.57608,                0.55746,                 0.2616,                0.84367,                0.87196,                0.86619,                0.41221,                0.52629,                0.53671,                0.29198,               0.008911,               0.008911,               0.008911
